frame,timestamp_seconds,was_ocr_sampled,primary_min_temp,primary_max_temp,primary_min_text,primary_max_text,accepted_sample_min_temp,accepted_sample_max_temp,accepted_min_text,accepted_max_text,accepted_min_method,accepted_max_method,clean_min_temp_used,clean_max_temp_used,status,retry_attempted
187,7.5771071647274955,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
188,7.617626454378445,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
189,7.658145744029394,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
190,7.698665033680343,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
191,7.739184323331292,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
192,7.7797036129822414,1,29.3,744.0,29.30,7440,,,,,,,29.3,74.8,HOLD_PREVIOUS,1
193,7.820222902633191,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
194,7.86074219228414,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
195,7.901261481935089,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
196,7.941780771586038,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
197,7.982300061236987,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
198,8.022819350887938,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
199,8.063338640538886,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
200,8.103857930189836,1,29.3,744.0,29.30,7440,,,,,,,29.3,74.8,HOLD_PREVIOUS,1
201,8.144377219840784,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
202,8.184896509491734,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
203,8.225415799142683,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
204,8.265935088793631,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
205,8.306454378444581,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
206,8.34697366809553,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
207,8.38749295774648,0,,,,,,,,,,,29.3,74.8,UNSAMPLED,0
208,8.428012247397428,1,29.4,74.8,294,748,29.4,74.8,294,748,green_difference/PSM7,gray_otsu/PSM7,29.4,74.8,ACCEPT_PRIMARY,0
209,8.468531537048378,0,,,,,,,,,,,29.4,74.8,UNSAMPLED,0
210,8.509050826699326,0,,,,,,,,,,,29.4,74.8,UNSAMPLED,0
211,8.549570116350276,0,,,,,,,,,,,29.4,74.8,UNSAMPLED,0
212,8.590089406001225,0,,,,,,,,,,,29.4,74.8,UNSAMPLED,0
213,8.630608695652175,0,,,,,,,,,,,29.4,74.8,UNSAMPLED,0
214,8.671127985303123,0,,,,,,,,,,,29.4,74.8,UNSAMPLED,0
215,8.711647274954073,0,,,,,,,,,,,29.4,74.8,UNSAMPLED,0
216,8.752166564605021,1,29.4,74.8,294,748,29.4,74.8,294,748,green_difference/PSM7,gray_otsu/PSM7,29.4,74.8,ACCEPT_PRIMARY,0
217,8.792685854255971,0,,,,,,,,,,,29.4,74.8,UNSAMPLED,0
218,8.83320514390692,0,,,,,,,,,,,29.4,74.8,UNSAMPLED,0
219,8.87372443355787,0,,,,,,,,,,,29.4,74.8,UNSAMPLED,0
220,8.914243723208818,0,,,,,,,,,,,29.4,74.8,UNSAMPLED,0
221,8.954763012859768,0,,,,,,,,,,,29.4,74.8,UNSAMPLED,0
